,id,title,description,price,discount_per,rating,thumbnail,link
10,310,"Motorola g84 5G (Midnight Blue, 256 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li><li class=""rgWa7D"">16.64 cm (6.55 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP (OIS) + 8MP | 16MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Snapdragon 695 Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","22,999",21% off,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/a/i/g84-5g-paym0016in-motorola-original-imagsy5u8nmttezf.jpeg?q=70,https://www.flipkart.com/motorola-g84-5g-midnight-blue-256-gb/p/itm30dd9d1ed8bb8?pid=MOBGQFX68CXMTSGK&lid=LSTMOBGQFX68CXMTSGK7PXRBT&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGQFX68CXMTSGK.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
11,311,"REDMI 13C (Stardust Black, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">17.12 cm (6.74 inch) HD+ Display</li><li class=""rgWa7D"">50MP Rear Camera | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Helio G85 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories</li></ul>","11,999",35% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/h/j/-original-imagxg47qr5wzvyh.jpeg?q=70,https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
12,312,"REDMI 13C (Starfrost White, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">17.12 cm (6.74 inch) HD+ Display</li><li class=""rgWa7D"">50MP Rear Camera | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Helio G85 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories</li></ul>","13,999",37% off,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/k/z/-original-imagxg47dwvzqew3.jpeg?q=70,https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm77877eab8617d?pid=MOBGWV9ERZ8YACPA&lid=LSTMOBGWV9ERZ8YACPA7PIG0S&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGWV9ERZ8YACPA.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
13,313,"Motorola Edge 40 Neo (Caneel Bay, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.64 cm (6.55 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP + 13MP | 32MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Dimensity 7030 Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","27,999",17% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/p/e/-original-imagtkzunhcht8vz.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-128-gb/p/itm122f351a3a2a3?pid=MOBGQFX6K7YQJRSY&lid=LSTMOBGQFX6K7YQJRSY6BK1PK&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGQFX6K7YQJRSY.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
14,314,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">17.07 cm (6.72 inch) Display</li><li class=""rgWa7D"">108MP Rear Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Domestic Warranty of 12 months on phone &amp; 6 months on accessories</li></ul>","19,999",5% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg?q=70,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGQR6JSKZRFKUD&lid=LSTMOBGQR6JSKZRFKUDAQRRKD&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGQR6JSKZRFKUD.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
15,315,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">17.07 cm (6.72 inch) Display</li><li class=""rgWa7D"">108MP Rear Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Domestic Warranty of 12 months on phone &amp; 6 months on accessories</li></ul>","19,999",10% off,4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg?q=70,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNAIXZQS&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
16,316,"MOTOROLA G04 (Sea Green, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">16.76 cm (6.6 inch) HD+ Display</li><li class=""rgWa7D"">16MP Rear Camera | 5MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Unisoc T606 Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","10,999",27% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/b/x/g04-pb130011in-motorola-original-imagy3tfvncuegaz.jpeg?q=70,https://www.flipkart.com/motorola-g04-sea-green-128-gb/p/itm853979118980f?pid=MOBGUFK4C9NZATQ6&lid=LSTMOBGUFK4C9NZATQ6ECHWPR&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGUFK4C9NZATQ6.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
17,317,"vivo T2x 5G (Glimmer Black, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.71 cm (6.58 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP + 2MP | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Mediatek Dimensity 6020 Processor</li><li class=""rgWa7D"">1 Year of Device &amp; 6 Months for Inbox Accessories</li></ul>","18,999",31% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
18,318,"vivo T2x 5G (Aurora Gold, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.71 cm (6.58 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP + 2MP | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Mediatek Dimensity 6020 Processor</li><li class=""rgWa7D"">1 Year of Device &amp; 6 Months for Inbox Accessories</li></ul>","17,999",33% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHQ0KBA5&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
19,319,"vivo T2x 5G (Glimmer Black, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.71 cm (6.58 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP + 2MP | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Mediatek Dimensity 6020 Processor</li><li class=""rgWa7D"">1 Year of Device &amp; 6 Months for Inbox Accessories</li></ul>","17,999",33% off,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
